dataset,label_col,split_type,method,alpha,n_pool,pool_actives,pool_prevalence,n_test,test_actives,test_prevalence,mean_norm_ausc,std_norm_ausc,mean_ef,std_ef,mean_final_hits,std_final_hits,mean_final_recall,std_final_recall,mean_final_roc_auc,mean_final_pr_auc,mean_final_alpha,std_final_alpha
bace,Class,scaffold,exploitation,0.00,1210,631,0.521488,303,60,0.19802,1.4736,0.0105,1.4957,0.0251,390.0,6.53,0.6181,0.0104,0.7209,0.4813,0.0,0.0
bace,Class,scaffold,fixed_alpha,0.10,1210,631,0.521488,303,60,0.19802,1.4371,0.0131,1.4305,0.0353,373.0,9.2,0.5911,0.0146,0.7151,0.4875,0.1,0.0
bace,Class,scaffold,fixed_alpha,0.25,1210,631,0.521488,303,60,0.19802,1.325,0.0484,1.3052,0.0379,340.33,9.88,0.5394,0.0157,0.7568,0.5052,0.25,0.0
bace,Class,scaffold,fixed_alpha,0.50,1210,631,0.521488,303,60,0.19802,1.0751,0.051,1.102,0.0208,287.33,5.44,0.4554,0.0086,0.7984,0.5512,0.5,0.0
bace,Class,scaffold,fixed_alpha,0.75,1210,631,0.521488,303,60,0.19802,1.0873,0.0371,1.07,0.0273,279.0,7.12,0.4422,0.0113,0.8132,0.5931,0.75,0.0
bace,Class,scaffold,fixed_alpha,1.00,1210,631,0.521488,303,60,0.19802,1.0541,0.0538,1.0521,0.0417,274.33,10.87,0.4348,0.0172,0.7994,0.5351,1.0,0.0
bace,Class,scaffold,bandit,bandit,1210,631,0.521488,303,60,0.19802,1.4213,0.0142,1.4727,0.0094,384.0,2.45,0.6086,0.0039,0.7246,0.4943,0.4167,0.2357
bbbp,p_np,scaffold,exploitation,0.00,1631,1152,0.706315,408,408,1.0,1.2854,0.0032,1.2893,0.0053,455.33,1.89,0.3953,0.0016,,,0.0,0.0
bbbp,p_np,scaffold,fixed_alpha,0.10,1631,1152,0.706315,408,408,1.0,1.2845,0.0041,1.2912,0.0046,456.0,1.63,0.3958,0.0014,,,0.1,0.0
bbbp,p_np,scaffold,fixed_alpha,0.25,1631,1152,0.706315,408,408,1.0,1.2848,0.0002,1.294,0.004,457.0,1.41,0.3967,0.0012,,,0.25,0.0
bbbp,p_np,scaffold,fixed_alpha,0.50,1631,1152,0.706315,408,408,1.0,0.7864,0.0242,0.8032,0.0058,283.67,2.05,0.2462,0.0018,,,0.5,0.0
bbbp,p_np,scaffold,fixed_alpha,0.75,1631,1152,0.706315,408,408,1.0,0.7688,0.0219,0.7966,0.0119,281.33,4.19,0.2442,0.0036,,,0.75,0.0
bbbp,p_np,scaffold,fixed_alpha,1.00,1631,1152,0.706315,408,408,1.0,0.7637,0.031,0.8004,0.0187,282.67,6.6,0.2454,0.0057,,,1.0,0.0
bbbp,p_np,scaffold,bandit,bandit,1631,1152,0.706315,408,408,1.0,1.2096,0.0043,1.2478,0.0081,440.67,2.87,0.3825,0.0025,,,0.3333,0.1179
clintox,CT_TOX,scaffold,exploitation,0.00,1184,87,0.07348,296,25,0.084459,2.0822,0.1895,1.8418,0.0339,67.67,1.25,0.7778,0.0143,0.8215,0.3024,0.0,0.0
clintox,CT_TOX,scaffold,fixed_alpha,0.10,1184,87,0.07348,296,25,0.084459,2.0922,0.1914,1.8236,0.0222,67.0,0.82,0.7701,0.0094,0.8091,0.2931,0.1,0.0
clintox,CT_TOX,scaffold,fixed_alpha,0.25,1184,87,0.07348,296,25,0.084459,2.0753,0.1943,1.8871,0.0128,69.33,0.47,0.7969,0.0054,0.829,0.3463,0.25,0.0
clintox,CT_TOX,scaffold,fixed_alpha,0.50,1184,87,0.07348,296,25,0.084459,2.029,0.2272,1.8236,0.0801,67.0,2.94,0.7701,0.0338,0.7946,0.313,0.5,0.0
clintox,CT_TOX,scaffold,fixed_alpha,0.75,1184,87,0.07348,296,25,0.084459,2.0276,0.3088,1.9234,0.0257,70.67,0.94,0.8123,0.0108,0.828,0.3413,0.75,0.0
clintox,CT_TOX,scaffold,fixed_alpha,1.00,1184,87,0.07348,296,25,0.084459,2.0038,0.3219,1.869,0.0339,68.67,1.25,0.7893,0.0143,0.8255,0.3255,1.0,0.0
clintox,CT_TOX,scaffold,bandit,bandit,1184,87,0.07348,296,25,0.084459,2.0936,0.2061,1.8327,0.0559,67.33,2.05,0.7739,0.0236,0.8181,0.3456,0.8333,0.2357
hiv,HIV_active,scaffold,exploitation,0,32896,1152,0.035019,8224,291,0.035384,11.7203,0.898,10.1087,1.7063,177.0,29.88,0.1536,0.0259,0.6111,0.1538,0.0,0.0
hiv,HIV_active,scaffold,fixed_alpha,0.1,32896,1152,0.035019,8224,291,0.035384,10.1069,0.6889,9.1949,1.4958,161.0,26.19,0.1398,0.0227,0.6068,0.1544,0.1,0.0
hiv,HIV_active,scaffold,fixed_alpha,0.25,32896,1152,0.035019,8224,291,0.035384,9.2426,0.2823,8.9855,1.5864,157.33,27.78,0.1366,0.0241,0.6261,0.1635,0.25,0.0
hiv,HIV_active,scaffold,fixed_alpha,0.5,32896,1152,0.035019,8224,291,0.035384,9.206,0.4123,8.8713,1.4637,155.33,25.63,0.1348,0.0222,0.6241,0.1711,0.5,0.0
hiv,HIV_active,scaffold,fixed_alpha,0.75,32896,1152,0.035019,8224,291,0.035384,8.8205,0.3948,8.6238,1.5751,151.0,27.58,0.1311,0.0239,0.6406,0.1744,0.75,0.0
hiv,HIV_active,scaffold,fixed_alpha,1,32896,1152,0.035019,8224,291,0.035384,9.3426,0.7166,9.4424,1.9917,165.33,34.87,0.1435,0.0303,0.6301,0.1867,1.0,0.0
hiv,HIV_active,scaffold,bandit,bandit,32896,1152,0.035019,8224,291,0.035384,11.1569,0.7813,9.8421,1.6102,172.33,28.19,0.1496,0.0245,0.6227,0.1532,0.3667,0.4497
tox21,NR-AR,scaffold,exploitation,0.00,5806,267,0.045987,1452,41,0.028237,9.1784,0.0404,6.4076,0.0542,147.33,1.25,0.5518,0.0047,0.7005,0.3202,0.0,0.0
tox21,NR-AR,scaffold,fixed_alpha,0.10,5806,267,0.045987,1452,41,0.028237,7.5113,0.547,5.5523,0.302,127.67,6.94,0.4782,0.026,0.7219,0.324,0.1,0.0
tox21,NR-AR,scaffold,fixed_alpha,0.25,5806,267,0.045987,1452,41,0.028237,6.5609,0.4007,4.9724,0.1478,114.33,3.4,0.4282,0.0127,0.7138,0.3246,0.25,0.0
tox21,NR-AR,scaffold,fixed_alpha,0.50,5806,267,0.045987,1452,41,0.028237,6.2322,0.2346,4.813,0.1141,110.67,2.62,0.4145,0.0098,0.6768,0.3217,0.5,0.0
tox21,NR-AR,scaffold,fixed_alpha,0.75,5806,267,0.045987,1452,41,0.028237,5.872,0.4841,4.494,0.2892,103.33,6.65,0.387,0.0249,0.6972,0.3201,0.75,0.0
tox21,NR-AR,scaffold,fixed_alpha,1.00,5806,267,0.045987,1452,41,0.028237,5.7812,0.5393,4.436,0.3841,102.0,8.83,0.382,0.0331,0.6918,0.3196,1.0,0.0
tox21,NR-AR,scaffold,bandit,bandit,5806,267,0.045987,1452,41,0.028237,8.0904,0.5435,6.3496,0.071,146.0,1.63,0.5468,0.0061,0.6982,0.3292,0.5,0.4082
